human_id,mouse_name,mouse_id,human_name
ENSG00000276626,Gm24532,ENSMUSG00000088576,RF00100
ENSG00000200823,Gm23347,ENSMUSG00000065757,SNORD114-2
ENSG00000201050,Gm22838,ENSMUSG00000089062,RNU6-668P
ENSG00000199348,Gm24468,ENSMUSG00000077677,RNU6-766P
ENSG00000206954,Gm22057,ENSMUSG00000065321,RNU6-1201P
ENSG00000238961,Snora47,ENSMUSG00000088108,SNORA47
ENSG00000206685,Gm24521,ENSMUSG00000065892,RNU6-1189P
ENSG00000276991,Gm27998,ENSMUSG00000098395,RF01877
ENSG00000200063,Snora30,ENSMUSG00000065259,RF00415
ENSG00000277049,Gm25555,ENSMUSG00000088703,RNA5SP530
ENSG00000200779,Gm23500,ENSMUSG00000088360,RNU6-105P
ENSG00000200779,Gm24724,ENSMUSG00000088855,RNU6-105P
ENSG00000207234,Gm22950,ENSMUSG00000095636,RNU6-125P
ENSG00000223229,Gm22668,ENSMUSG00000089341,RN7SKP270
ENSG00000222416,n-R5s84,ENSMUSG00000084540,RNA5SP274
ENSG00000207394,Gm23186,ENSMUSG00000096200,RNU6-1060P
ENSG00000252046,Gm25897,ENSMUSG00000065643,RNU6-150P
ENSG00000207097,Gm23056,ENSMUSG00000064737,RNU6-614P
ENSG00000278591,Gm23849,ENSMUSG00000065767,RF00004
ENSG00000278591,Gm23472,ENSMUSG00000094050,RF00004
ENSG00000278591,Gm25360,ENSMUSG00000094655,RF00004
ENSG00000278591,Gm23444,ENSMUSG00000064856,RF00004
ENSG00000278591,Gm23971,ENSMUSG00000065251,RF00004
ENSG00000278591,Gm22973,ENSMUSG00000065232,RF00004
ENSG00000278591,Gm25939,ENSMUSG00000093843,RF00004
ENSG00000278591,Rnu2-10,ENSMUSG00000065944,RF00004
ENSG00000278591,Gm24950,ENSMUSG00000064702,RF00004
ENSG00000278591,Gm24497,ENSMUSG00000093956,RF00004
ENSG00000207198,Gm22044,ENSMUSG00000064926,RNU6-1195P
ENSG00000206923,Gm22345,ENSMUSG00000084593,RNU6-432P
ENSG00000252199,Gm25116,ENSMUSG00000087816,RF00156
ENSG00000252199,Gm22603,ENSMUSG00000088228,RF00156
ENSG00000202082,Gm23506,ENSMUSG00000065011,RNU6-290P
ENSG00000277572,Gm28000,ENSMUSG00000098393,RF01518
ENSG00000277572,Gm27679,ENSMUSG00000098373,RF01518
ENSG00000277572,Gm27940,ENSMUSG00000099208,RF01518
ENSG00000206952,Gm26265,ENSMUSG00000105690,SNORA50A
ENSG00000253089,Gm23322,ENSMUSG00000077652,RNU1-104P
ENSG00000201931,Gm26213,ENSMUSG00000089207,RNA5SP172
ENSG00000251897,Gm25404,ENSMUSG00000064904,RNU6-916P
ENSG00000252329,Gm25434,ENSMUSG00000088903,RF00424
ENSG00000206906,Gm23056,ENSMUSG00000064737,RNU6-458P
ENSG00000265706,Gm22858,ENSMUSG00000092713,SNORD53B
ENSG00000206788,Gm23113,ENSMUSG00000089102,RNU6-629P
ENSG00000252821,Gm22378,ENSMUSG00000088106,RNU6-388P
ENSG00000252601,Gm23208,ENSMUSG00000089291,RF00425
ENSG00000252601,Gm22541,ENSMUSG00000088790,RF00425
ENSG00000252601,Gm26186,ENSMUSG00000088314,RF00425
ENSG00000238875,Gm26372,ENSMUSG00000088456,RN7SKP210
ENSG00000251992,Gm23119,ENSMUSG00000089235,SCARNA17
ENSG00000251992,Gm25913,ENSMUSG00000088242,SCARNA17
ENSG00000251992,Gm26183,ENSMUSG00000088310,SCARNA17
ENSG00000252473,Gm25480,ENSMUSG00000065151,RF00272
ENSG00000252473,Gm24147,ENSMUSG00000064697,RF00272
ENSG00000252473,Gm24493,ENSMUSG00000065739,RF00272
